X_1,X_2,Y
-2.319,0.283,3.913
12.356,4.103,23.22
-17.574,-8.246,-31.237
2.968,1.181,5.068
3.282,21.866,50.541
-16.786,-3.205,-20.822
7.068,6.989,24.123
-2.431,3.605,6.908
5.182,-1.341,7.806
-6.245,-1.022,-7.624
2.801,13.862,32.913
-17.113,-4.885,-24.051
19.526,-29.314,-37.597
-1.067,-15.742,-29.617
-2.61,0.738,0.025
15.841,-7.198,3.859
13.694,-0.861,13.656
-1.978,-26.247,-53.845
3.727,-7.13,-8.25
-15.674,16.799,20.976
-2.469,-0.271,-0.485
3.594,-8.358,-10.085
1.024,8.308,21.18
-15.276,8.818,7.182
-0.783,9.197,21.025
-6.216,12.179,22.688
-1.289,-1.142,-1.234
8.106,-9.747,-9.255
-2.813,-5.566,-11.151
7.861,16.064,43.252
25.7,6.183,41.762
-6.335,3.295,3.109
-1.866,-6.37,-9.736
1.519,-25.37,-46.42
2.002,-10.121,-14.661
-0.707,-3.405,-4.086
-3.916,-18.891,-38.02
-0.807,-1.52,-1.028
-4.969,-11.064,-23.641
15.942,-8.398,1.303
11.902,10.325,36.106
7.594,9.121,28.438
19.641,3.667,30.14
22.997,-1.43,22.848
-2.306,10.68,21.937
13.687,-2.37,16.006
-11.326,-26.661,-60.344
-1.35,-19.362,-34.659
-5.747,1.097,-1.327
-6.622,-2.75,-9.863
9.999,-2.184,7.902
-2.3,9.231,17.762
3.983,-27.344,-46.898
-7.243,1.677,-0.4
-17.921,18.06,23.832
-6.402,1.901,1.19
-7.769,-16.682,-35.546
-1.256,-13.122,-23.125
-9.602,12.189,17.122
-8.813,-1.586,-7.02
-7.741,14.224,25.875
-1.206,-7.738,-12.765
-0.872,-25.179,-47.139
5.553,-1.888,5.131
-0.883,-6.78,-9.846
12.352,0.595,15.989
1.721,-2.359,-1.105
-1.863,10.896,24.943
-10.446,23.715,40.144
-8.492,7.953,11.322
-5.929,2.615,2.928
-3.136,0.762,0.97
15.254,10.132,38.012
-11.774,-1.421,-9.804
1.202,7.762,19.787
3.087,-6.049,-5.913
-4.122,6.609,14.803
3.799,-5.599,-4.07
1.637,-4.346,-2.065
8.755,2.444,17.349
-18.176,-11.296,-39.636
7.297,3.578,15.731
9.257,-0.033,12.468
-24.785,0.37,-19.751
2.678,-8.751,-9.618
-1.134,-0.477,2.084
6.343,5.656,19.512
-4.866,-1.118,-2.852
20.44,9.336,42.54
-5.598,0.896,-2.236
0.337,7.154,17.652
-8.361,8.66,11.583
21.828,-10.034,4.734
9.161,-7.849,-5.674
2.342,-14.373,-24.971
-4.751,-8.778,-19.403
-3.607,3.402,6.861
-0.59,3.753,9.026
18.856,-8.26,3.455
-7.185,-12.964,-29.224
25.447,3.09,34.095
-7.006,-13.078,-33.008
15.141,1.046,21.126
2.09,-3.153,-3.714
-10.505,-4.762,-17.354
-0.963,-5.411,-5.992
-13.075,4.074,-3.306
-1.789,-12.416,-25.017
-7.139,7.268,9.806
8.71,-2.574,4.11
6.004,-8.053,-7.896
-1.678,-13.411,-25.839
-7.274,-17.8,-40.441
-17.895,-8.012,-28.999
1.176,11.113,27.064
-7.571,7.708,8.608
4.468,5.52,20.186
2.331,-4.205,-4.218
0.994,4.115,13.035
29.787,-9.118,16.322
6.85,16.504,41.85
3.492,1.432,8.722
-5.278,-11.542,-26.107
1.195,6.093,17.803
-1.049,17.095,36.661
1.49,-11.778,-17.505
7.019,9.617,30.548
15.614,-4.709,9.877
15.566,6.603,30.824
16.411,19.215,59.725
-4.876,-10.043,-23.178
-4.987,23.821,45.2
3.404,-1.545,4.519
-3.05,15.909,30.466
0.993,6.733,16.464
1.815,-9.362,-13.446
-8.518,6.251,5.732
-6.577,-11.108,-27.171
-4.607,7.019,11.554
6.024,7.117,26.311
4.985,3.196,12.625
2.39,-9.844,-14.947
-9.715,7.604,7.48
-3.883,7.098,12.985
-3.558,-11.355,-23.859
12.413,-1.361,11.788
-5.218,-9.159,-21.26
-11.148,5.485,0.863
-11.852,-9.985,-29.296
-13.748,-15.585,-42.441
8.794,3.796,18.453
-6.065,-14.983,-33.749
-2.323,3.431,8.151
-7.967,5.399,5.771
5.249,7.491,22.691
27.285,-7.979,13.537
15.954,10.787,42.071
-3.92,-9.841,-20.115
3.054,-3.815,-1.675
10.425,-3.721,6.381
0.113,-8.153,-15.859
-3.635,-11.575,-24.578
21.353,-22.038,-17.61
8.001,6.959,22.198
15.639,-15.17,-10.294
0.557,12.054,26.185
-3.312,2.317,4.687
2.21,15.585,38.277
15.995,9.316,36.685
3.045,-15.932,-30.763
1.367,-11.542,-18.545
-5.291,9.221,17.755
-6.275,-6.46,-16.508
0.951,-9.344,-16.83
-4.215,13.503,24.538
16.165,-4.681,11.69
-3.035,-21.66,-44.968
-7.93,16.485,28.032
-3.651,5.243,10.575
8.053,5.518,22.541
2.742,-1.48,1.181
8.668,2.111,16.722
9.304,-6.042,-1.351
26.091,-15.012,-1.102
-8.026,-5.825,-14.584
-12.381,3.955,-2.934
-9.095,-13.773,-32.351
-20.109,7.415,-2.787
17.379,6.839,33.518
0.086,-1.204,2.266
8.645,-6.028,-2.46
3.723,4.483,16.067
1.016,9.545,23.015
-12.945,2.982,-2.8
-8.309,-17.91,-42.362
4.537,2.506,15.14
12.252,4.119,22.787
9.68,16.713,44.823
-11.166,-12.311,-30.954
-3.941,0.792,2.369
6.381,-5.903,0.288
13.411,0.684,19.004
-10.44,4.627,0.933
5.374,-2.864,3.18
-4.476,14.958,27.465
-0.187,0.2,3.516
5.023,-1.09,6.024
3.58,26.804,59.555
-8.755,-13.238,-31.043
6.219,-9.576,-9.538
-9.229,6.679,7.916
-5.365,-12.911,-27.151
1.98,3.178,12.545
-12.688,-24.993,-58.885
13.034,1.364,18.39
-2.318,-4.454,-9.298
-2.655,-4.146,-8.089
3.958,5.479,19.561
-21.793,-1.981,-23.505
5.426,5.837,20.529
8.215,-9.298,-6.481
0.231,-2.106,-0.279
-8.746,-7.609,-19.393
10.508,-5.065,1.648
2.803,4.267,12.656
-7.821,11.422,18.397
-4.202,21.32,41.447
4.961,6.494,22.532
15.442,2.366,24.187
5.548,-2.315,5.061
10.967,-1.584,11.278
-4.905,-9.262,-20.025
-12.935,-9.095,-28.926
-0.889,-4.571,-10.247
-0.685,2.021,7.842
-20.871,14.762,11.714
3.831,15.962,40.342
17.389,-1.492,18.885
7.271,11.388,34.51
0.025,-8.965,-15.369
1.177,-8.169,-12.122
18.524,-7.173,5.915
-8.335,8.912,12.628
15.982,0.229,19.952
-4.266,7.755,14.485
-2.297,-1.352,-1.526
-14.387,1.894,-8.652
-10.849,10.767,13.561
-11.073,20.345,31.65
-3.046,8.21,12.317
9.308,-11.728,-10.169
19.796,-10.165,0.995
8.136,0.477,11.167
-20.264,-0.677,-20.855
6.57,4.406,18.161
4.316,-0.475,6.19
-0.239,5.856,16.358
-7.436,-12.695,-31.198
-2.234,10.815,21.512
-0.424,-14.889,-27.677
10.477,15.495,44.973
-16.364,-17.385,-47.971
-12.854,9.948,10.156
0.159,-2.623,-2.136
8.165,5.628,22.681
-8.624,-27.541,-61.497
5.449,-2.395,4.282
17.558,-6.493,7.277
3.782,1.403,7.276
-4.366,2.542,2.257
-5.237,-15.834,-29.448
-1.988,2.409,7.012
8.629,-1.357,7.849
7.418,0.488,11.468
6.574,-11.534,-13.307
0.008,11.693,28.217
-14.223,-11.251,-32.539
-11.672,1.329,-5.658
-31.961,-10.035,-47.918
12.496,-0.655,15.805
-0.659,8.802,19.94
-1.198,-9.586,-16.067
-6.641,-11.974,-26.425
6.701,11.115,33.272
-6.014,8.906,14.497
-11.799,3.325,-2.913
1.191,-12.568,-19.619
8.853,2.524,17.524
-6.094,0.068,-2.712
-14.058,-2.219,-14.353
-0.085,2.352,6.204
-8.252,-18.359,-42.109
-1.788,-20.444,-41.688
-3.18,-25.32,-49.182
-9.693,6.107,5.963
9.676,-9.739,-7.531
1.281,11.764,28.504
10.239,17.671,47.449
5.521,19.235,47.371
10.086,8.187,29.491
-19.901,-5.45,-26.826
0.974,-11.089,-15.798
6.77,-21.491,-31.778
3.984,-5.229,-3.962
-5.457,26.912,49.992
4.43,-14.225,-21.464
-16.761,1.161,-12.568
13.319,-2.412,10.869
-17.392,-16.797,-48.221
9.76,10.224,35.549
-9.03,-3.258,-13.731
2.928,-12.171,-17.516
8.523,-23.085,-34.85
10.834,-33.99,-53.151
9.1,7.319,24.493
7.657,-7.585,-4.779
14.902,2.276,24.958
-20.049,-0.042,-15.706
-4.224,11.441,25.54
-6.773,-5.46,-12.272
-3.362,5.114,11.184
-6.866,-7.263,-18.106
-24.963,-2.631,-26.876
-2.939,-7.084,-15.378
-8.482,-3.448,-13.247
8.55,-2.192,6.521
0.262,-7.069,-13.907
18.739,-13.137,-4.619
1.133,-14.099,-23.751
2.171,-4.451,-5.295
1.569,-11.372,-19.344
15.653,2.807,25.399
15.476,-2.677,11.389
6.576,15.538,41.585
11.777,0.221,16.058
-7.3,6.301,9.306
1.15,10.825,28.305
-5.617,-11.642,-25.826
1.327,-7.843,-11.812
19.379,13.182,49.097
-16.282,-0.556,-13.866
-3.828,15.84,31.236
-5.061,-21.709,-47.675
27.707,1.186,32.947
10.056,-5.692,2.249
10.981,-13.282,-12.985
-2.827,2.038,4.076
5.475,-2.249,5.095
1.072,-1.688,1.374
-15.098,4.746,-2.763
1.972,11.012,28.448
13.75,-8.623,-0.117
-9.812,-10.308,-28.086
7.588,4.338,20.37
7.507,0.401,11.52
2.252,-5.308,-5.729
-4.966,-4.988,-10.756
1.462,-19.13,-33.896
14.536,4.644,29.478
3.408,-1.484,3.195
10.423,1.747,19.641
7.596,-3.628,0.777
-2.428,-17.0,-34.395
12.563,4.895,24.285
-10.328,-6.598,-20.821
4.836,1.949,10.56
-5.939,-18.192,-38.775
3.182,-11.543,-16.032
-4.789,-3.647,-9.646
-8.784,0.569,-5.447
-2.6,-11.715,-24.036
-2.38,-2.205,-4.002
1.049,-2.172,1.933
13.017,-9.934,-4.343
-6.454,-12.803,-28.881
-2.159,0.092,1.843
16.039,8.041,34.463
-2.575,-0.871,-1.242
3.413,-11.734,-16.867
10.486,-2.007,9.928
-1.226,-2.451,-1.741
2.555,-2.327,1.725
-9.167,-10.332,-22.445
-1.733,-0.102,1.655
10.229,2.765,20.358
-0.571,2.414,6.995
19.676,18.043,60.406
3.28,3.393,9.488
1.352,2.005,7.757
0.879,-11.894,-21.765
-7.138,-9.025,-21.459
-11.522,0.751,-7.186
-16.128,10.746,8.776
-6.621,-12.014,-30.556
-3.25,-10.649,-20.382
-18.555,-12.926,-44.03
-10.201,11.57,16.583
-0.057,-31.262,-58.415
-7.081,2.384,-0.253
-2.115,1.625,4.34
-11.741,7.344,4.78
8.084,-6.865,-3.063
-3.256,0.26,2.626
6.184,6.365,24.008
-6.991,-27.183,-58.907
11.072,-5.036,2.563
5.708,18.964,46.208
21.635,-13.657,-3.127
1.926,-6.584,-10.36
-4.814,-1.964,-7.636
0.619,-6.373,-9.921
2.654,-1.586,4.722
7.131,18.234,48.687
-7.511,-10.355,-29.122
-7.936,3.042,5.324
-9.351,5.624,6.563
6.964,2.9,15.294
-5.254,10.614,19.367
-18.441,-2.255,-20.082
-0.221,1.976,3.417
2.836,-9.162,-11.966
-3.367,-1.193,-1.735
7.384,4.426,18.754
30.58,4.032,40.062
-2.71,-10.146,-21.221
13.646,-5.311,8.577
6.228,0.766,13.48
7.505,0.893,13.067
-4.464,-13.338,-26.335
11.276,-8.267,-1.964
2.917,-6.113,-4.45
7.868,-8.896,-8.691
-12.359,9.785,10.994
3.164,-7.036,-10.286
0.317,-1.737,-0.959
3.748,-2.492,1.313
-0.345,10.825,26.475
1.882,7.065,18.966
2.621,0.933,7.509
17.482,10.534,41.75
10.029,5.214,24.12
1.67,9.014,22.551
3.403,33.96,72.784
-7.952,-0.165,-2.261
23.685,13.88,52.478
8.882,5.451,22.678
0.238,-0.487,-0.01
-3.144,-3.366,-5.574
1.716,-5.62,-8.768
14.439,-8.737,-1.268
9.061,-5.497,-0.867
2.679,1.535,6.709
-4.48,-7.887,-17.345
-6.822,-8.039,-21.109
-4.335,-2.233,-5.76
-24.416,11.594,1.984
4.528,-14.561,-21.369
15.968,-20.526,-22.481
-6.555,0.539,-4.004
-3.22,-13.386,-30.398
-1.129,0.251,4.475
-0.653,11.586,24.273
1.953,4.789,12.328
2.365,29.488,63.568
5.972,-0.599,6.289
0.058,-9.239,-12.007
-4.358,-8.722,-21.924
-6.655,-10.86,-24.288
-6.22,-1.649,-6.948
3.284,11.357,25.735
-2.275,5.448,13.679
-8.436,-11.291,-27.877
-5.565,26.371,49.125
-6.188,-6.449,-16.386
14.086,-2.29,12.397
-1.999,2.735,6.778
6.992,1.392,10.784
8.611,-1.273,10.717
14.007,-7.524,5.236
-5.4,-14.855,-34.164
7.798,-18.383,-25.789
-7.536,2.095,-0.124
7.098,-19.578,-31.924
26.2,3.662,37.055
-8.862,-0.319,-6.844
8.196,-1.697,8.573
4.732,9.555,24.726
22.924,5.589,36.637
26.321,-2.823,22.407
4.744,9.652,24.52
18.332,-19.283,-17.507
-8.396,1.609,-3.999
10.271,-3.216,7.488
5.936,-0.303,7.38
-3.669,0.242,1.083
-15.082,2.524,-6.336
-11.854,-23.0,-56.029
-10.719,-7.599,-19.766
-5.83,2.211,0.972
-10.807,-10.069,-26.925
-6.578,0.851,-1.339
-0.681,-0.781,-1.158
-16.181,0.108,-12.2
7.2,-10.112,-9.49
4.448,-3.372,-1.324
-7.787,-16.843,-40.868
-1.687,9.942,20.761
6.854,1.833,14.591
20.269,-8.133,6.858
-22.751,14.217,8.213
3.263,-6.276,-6.844
7.203,8.919,28.517
-2.939,-2.487,-4.26
-9.192,-2.867,-13.146
5.472,-6.375,-3.341
-9.339,-2.441,-11.955
9.096,1.377,15.183
-18.238,-13.946,-42.636
-12.906,-16.11,-43.561
0.641,-2.277,-1.959
-13.77,-13.562,-35.691
2.56,1.104,6.53
1.129,5.037,15.751
-5.051,-10.353,-24.42
6.43,-1.69,6.268
-16.6,9.9,3.677
14.937,-0.189,16.999
-23.162,7.852,-5.083
-18.497,13.107,11.311
-8.344,-7.662,-19.12
-2.616,-16.129,-30.127
-0.26,1.641,7.001
-14.348,2.082,-5.547
-5.017,0.136,-3.998
-26.32,-7.107,-37.998
0.444,2.721,10.268
-2.856,-12.676,-25.069
0.412,17.551,39.713
9.626,-11.691,-8.954
1.293,-15.68,-30.355
4.713,-18.643,-30.4
18.961,-0.524,21.013
-6.916,10.879,15.479
-11.726,-23.844,-56.858
6.383,7.055,25.705
-19.019,10.128,2.02
-7.319,0.094,-3.553
-10.624,2.931,-2.497
2.02,-6.762,-6.74
4.018,-0.045,8.536
9.106,0.537,12.464
-5.312,-15.977,-34.653
2.221,2.893,8.76
-8.606,1.778,-1.776
6.603,-7.643,-6.467
5.89,-2.468,2.239
0.785,-0.062,5.036
-3.623,-6.012,-13.087
-4.146,4.101,6.31
3.167,-17.876,-26.838
6.938,-7.305,-2.511
8.84,10.777,33.796
-14.738,-6.05,-25.254
-16.401,17.421,18.397
-1.729,7.27,16.844
6.888,1.035,12.474
3.853,-1.243,5.726
3.558,-15.313,-23.201
-10.372,-8.877,-22.889
-13.933,12.967,14.563
-14.077,-14.592,-41.029
1.107,-5.941,-5.736
-5.777,-9.819,-20.864
-4.026,0.159,-2.119
-0.333,2.425,7.331
7.996,12.198,34.723
-0.033,-8.376,-13.701
3.817,5.877,19.038
-7.812,5.225,5.947
2.407,-10.518,-15.331
-5.542,3.404,4.336
10.055,4.491,21.975
-17.203,2.2,-6.062
-5.181,10.265,17.314
-12.54,5.364,2.388
7.228,26.662,63.886
-0.459,1.84,7.818
16.896,-1.927,16.327
7.367,0.525,12.13
8.408,-3.545,1.696
-6.797,-8.21,-21.585
12.266,3.362,20.217
16.231,-2.92,13.984
-11.612,-3.068,-11.777
8.125,-0.226,9.963
14.7,-8.391,1.779
16.118,-11.182,-3.664
2.922,-6.469,-6.058
0.093,11.084,23.809
10.776,-4.133,6.602
-6.567,1.916,2.089
13.344,-7.184,2.084
-0.043,-3.884,-3.941
14.99,6.381,29.289
-0.676,-6.77,-13.685
0.382,-1.561,-0.234
-8.742,14.621,22.987
-8.36,-1.288,-9.444
-1.709,-7.373,-12.099
-6.833,-7.242,-16.855
-9.855,-10.668,-29.49
-17.118,-4.149,-20.147
11.497,-0.183,13.09
-0.437,-27.294,-50.348
-3.578,-2.241,-6.538
-7.649,-10.448,-26.762
-1.815,-1.784,-2.133
5.332,-7.222,-7.711
4.806,-15.779,-21.965
5.281,-4.094,2.008
14.823,-2.032,13.515
-9.655,1.911,-4.287
4.406,-7.761,-7.844
-0.449,-1.253,2.002
10.706,1.423,16.033
20.238,5.457,32.579
-2.192,14.98,30.178
9.39,-1.364,11.534
-0.427,-10.326,-14.832
0.97,-2.484,0.422
3.513,1.889,8.794
-8.9,-2.007,-9.345
16.936,-5.464,10.018
-12.287,6.797,4.766
-13.929,-9.708,-30.989
-4.637,8.091,13.234
7.643,-5.545,0.434
8.695,9.056,30.062
9.351,-8.564,-2.97
-6.7,-2.036,-8.092
-9.093,3.025,0.865
11.918,-1.031,13.36
3.954,11.779,29.451
-5.043,3.576,5.147
-5.949,-12.543,-28.506
0.962,-6.679,-9.124
0.486,-10.541,-20.328
18.422,2.076,25.913
19.773,2.916,28.236
3.504,11.279,28.952
16.904,-10.133,-0.869
-9.644,1.219,-3.681
-18.585,11.719,6.668
-8.688,9.371,12.839
-11.495,-5.537,-19.928
-11.24,15.359,21.031
4.178,2.351,12.895
4.165,-3.744,-0.439
22.976,-12.967,-1.535
13.415,-0.836,14.859
-23.719,3.836,-11.236
-3.877,-2.941,-5.991
0.421,-14.139,-24.084
-10.588,-20.629,-49.172
2.276,-0.507,1.036
9.192,5.214,23.937
-6.826,-31.643,-66.855
6.806,3.608,20.62
10.102,12.051,36.255
-8.174,-5.634,-19.026
33.676,-0.18,36.87
0.819,-10.343,-18.219
4.467,-5.372,-5.408
15.781,10.416,37.569
-7.247,-22.6,-49.335
0.64,15.044,37.454
-4.466,-0.185,-0.9
2.033,-5.101,-5.422
20.019,-10.104,1.054
2.035,-2.773,-1.404
17.366,-0.115,23.701
-3.111,-0.767,-1.151
5.024,10.071,28.017
-17.034,6.048,-2.526
-2.043,-24.937,-50.534
-6.579,-13.679,-29.749
-19.844,12.256,8.215
11.716,3.682,23.031
-3.648,-7.8,-15.125
-0.452,-15.963,-29.371
-3.213,-8.821,-17.429
-5.422,4.985,6.621
0.703,4.988,13.003
-4.61,7.237,12.13
11.89,-3.595,9.558
-13.02,4.571,-1.324
-0.152,0.521,3.697
9.727,2.153,15.795
13.73,15.953,49.765
1.194,1.761,7.296
15.986,13.464,46.27
-0.95,19.183,36.813
7.997,1.35,15.702
-6.937,-7.55,-18.578
3.668,3.338,12.403
1.893,-17.424,-28.31
6.498,13.118,35.495
3.465,0.122,6.774
28.683,3.511,36.369
5.375,-13.668,-18.835
0.893,-12.622,-21.027
8.567,-13.026,-13.723
-1.309,9.452,24.118
6.139,-8.0,-8.935
-12.234,-16.467,-44.046
5.656,12.403,34.702
10.356,0.67,14.064
0.447,4.241,11.492
-1.045,-13.005,-22.968
3.005,-8.135,-10.592
4.684,-18.069,-29.504
0.606,4.276,12.899
2.559,-7.203,-7.746
9.099,-14.368,-17.862
-3.274,3.119,3.956
11.843,-13.846,-14.076
2.09,12.395,27.399
1.526,-12.641,-22.519
-9.095,-1.796,-9.326
14.217,5.218,26.763
3.332,-6.216,-5.951
-9.548,-12.05,-30.133
-1.942,-12.671,-25.083
-18.233,-6.22,-28.419
-1.005,-20.347,-37.52
-5.206,-1.268,-3.142
-5.702,-7.944,-18.903
-12.534,-19.448,-47.387
9.062,-0.728,7.471
-2.918,-0.172,-0.287
15.289,0.76,20.69
14.04,-3.146,10.666
-0.794,6.126,16.215
-4.584,-15.216,-31.909
10.482,-3.733,6.215
-22.287,-3.74,-26.467
1.022,11.698,28.29
4.032,-5.299,-2.1
2.633,-9.38,-12.715
-11.903,9.976,11.563
9.477,4.447,21.586
-8.427,20.164,34.464
5.378,2.013,12.968
12.735,-4.164,10.105
-7.294,-24.985,-54.332
12.659,-1.319,14.097
-7.856,8.741,15.679
12.952,-0.865,17.423
-11.028,1.52,-4.909
14.508,0.729,19.088
19.255,9.137,38.779
2.572,-15.813,-26.876
1.312,-6.811,-7.335
12.087,-9.358,-4.122
0.436,12.848,29.781
-6.541,-1.763,-8.934
3.673,3.649,15.051
13.524,-4.104,5.26
5.733,-15.645,-21.123
7.989,0.832,13.66
0.756,-11.524,-22.072
-3.728,2.992,4.419
7.449,11.24,33.173
-6.02,9.358,17.973
7.318,-7.588,-5.226
13.289,-8.146,-1.709
3.637,-18.9,-31.008
-0.381,3.808,9.564
-4.327,-3.176,-5.233
3.373,4.724,16.13
-8.863,5.989,4.821
17.441,-12.717,-3.301
-12.575,-2.827,-15.034
-1.531,3.239,9.98
-1.5,0.384,1.664
13.276,0.168,17.034
-0.855,-10.93,-19.191
5.066,-5.864,-3.496
5.858,-0.002,9.749
11.452,6.431,26.518
9.524,8.292,29.134
14.965,-0.262,16.489
2.053,11.132,26.324
-9.764,-1.284,-11.368
2.361,-8.536,-12.483
29.09,-1.426,26.506
11.095,0.418,14.542
1.688,5.944,18.653
1.562,-9.411,-12.965
24.527,4.539,35.784
5.033,-4.634,-0.238
13.596,12.913,41.08
3.408,-1.343,5.092
6.725,-9.086,-8.902
-8.481,10.949,17.955
22.103,-9.457,7.199
-3.079,-0.071,-0.667
23.726,-27.878,-28.707
-11.615,-4.02,-15.819
-3.154,-19.15,-39.331
6.711,-2.891,4.39
-3.274,11.231,23.34
9.345,-3.607,2.125
10.122,2.145,15.268
1.082,-6.847,-8.364
0.423,-7.359,-12.385
7.063,12.984,34.285
-20.47,15.138,12.564
1.055,13.133,26.723
0.269,13.051,31.692
-2.722,-11.209,-23.443
-11.839,-0.16,-8.946
4.202,-0.972,6.425
-5.611,3.209,2.889
18.704,1.32,25.541
5.607,11.252,29.559
-12.234,1.346,-5.599
-7.937,-2.55,-10.909
4.758,5.701,20.369
-5.015,-4.221,-11.192
4.648,3.298,16.684
-6.308,11.769,22.791
0.251,-6.078,-8.796
16.023,7.873,33.306
18.418,14.228,50.785
9.528,-11.945,-11.225
0.011,-10.467,-20.49
17.367,1.863,22.581
1.732,7.729,20.309
11.882,11.668,38.043
-10.857,-1.641,-11.393
-4.964,-2.317,-5.929
10.774,7.746,30.523
1.421,-6.498,-7.811
5.636,-6.435,-3.259
7.912,-3.659,3.776
-4.166,8.24,17.641
-3.885,6.077,10.279
-9.543,4.671,3.343
5.486,1.696,10.835
13.07,-4.454,9.912
13.546,-14.666,-13.466
-3.531,10.57,20.025
2.369,-13.201,-21.188
10.515,10.21,32.495
4.773,6.271,20.734
4.288,-4.841,-0.282
-11.131,-7.802,-22.677
-12.149,-8.037,-23.151
-1.191,-0.433,3.846
-5.252,-10.614,-24.278
-1.008,-0.003,1.236
-1.8,-3.264,-5.135
-1.095,3.272,8.336
-7.387,-14.676,-34.034
14.96,2.71,21.406
4.191,-3.128,1.171
